dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,key_resp.rt,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
3,PPS,O,n,n,0,0,0,0,0,38,38,38,a,,yellow,,,,,,2,318.78419479999866,320.8514206999971,35,PPS,b,stim_35_b_u.jpg,test,320.8514206999971,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,PPS,O,n,n,0,0,0,0,0,39,39,39,a,,yellow,,,,,,4,323.312245000001,327.3808282999962,35,PPS,b,stim_35_b_u.jpg,test,327.3808282999962,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,BOUND,O,y,n,0,0,0,0,0,40,40,40,a,,yellow,,,,,,2,329.84023680000246,331.9063057000021,35,BOUND,b,stim_35_b_u.jpg,filler,331.9063057000021,None,334.3690721000021,334.3690721000021,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,O,n,n,0,0,0,0,0,41,41,41,a,,yellow,,,,,,4,335.5680407999971,339.63501019999967,85,EPS,b,stim_85_b_u.jpg,test,339.63501019999967,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,O,n,n,0,0,0,0,0,42,42,42,a,,yellow,,,,,,4,342.09544820000156,346.16073609999876,85,EPS,b,stim_85_b_u.jpg,test,346.16073609999876,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,S,n,n,0,0,0,0,0,43,43,43,a,,yellow,,,,,,2,348.6222581999973,350.6926700999975,30,PPS,y,stim_30_y_u.jpg,test,350.6926700999975,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,S,n,n,0,0,0,0,0,44,44,44,a,,yellow,,,,,,2,353.1519812999977,355.2238486999995,30,PPS,y,stim_30_y_u.jpg,test,355.2238486999995,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,BOUND,S,n,n,0,0,0,0,0,45,45,45,a,,yellow,,,,,,6,357.6811910999968,363.7668693000014,30,BOUND,y,stim_30_y_u.jpg,test,363.7668693000014,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,S,n,n,0,0,0,0,0,46,46,46,a,,yellow,,,,,,2,366.2065156000026,368.27875669999776,85,EPS,y,stim_85_y_u.jpg,test,368.27875669999776,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,PPS,S,n,n,0,0,0,0,0,47,47,47,a,,yellow,,,,,,2,370.7353548000028,372.8048131999967,35,PPS,y,stim_35_y_u.jpg,test,372.8048131999967,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,O,y,n,0,0,0,0,0,48,48,48,a,,yellow,,,,,,4,375.26462029999675,379.3308840999962,30,PPS,b,stim_30_b_u.jpg,filler,379.3308840999962,None,381.7914806999979,381.7914806999979,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,PPS,S,n,n,0,0,0,0,0,49,49,49,a,,yellow,,,,,,2,382.98956239999825,385.0557256000029,35,PPS,y,stim_35_y_u.jpg,test,385.0557256000029,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,BOUND,O,n,n,0,0,0,0,0,50,50,50,a,,yellow,,,,,,2,387.5029078000007,389.5706035999974,35,BOUND,b,stim_35_b_u.jpg,test,389.5706035999974,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,PPS,S,n,n,0,0,0,0,0,51,51,51,a,,yellow,,,,,,6,392.03202410000085,398.1035785999993,35,PPS,y,stim_35_y_u.jpg,test,398.1035785999993,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,S,y,n,0,0,0,0,0,52,52,52,a,,yellow,,,,,,2,400.55775939999876,402.6221222000022,85,EPS,y,stim_85_y_u.jpg,filler,402.6221222000022,b,405.08685619999596,405.08685619999596,0.6599249999999302,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,PPS,S,n,n,0,0,0,0,0,53,53,53,a,,yellow,,,,,,6,406.28571869999723,412.36265779999667,35,PPS,y,stim_35_y_u.jpg,test,412.36265779999667,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,S,n,n,0,0,0,0,0,54,54,54,a,,yellow,,,,,,4,414.81135180000274,418.89868320000096,85,EPS,y,stim_85_y_u.jpg,test,418.89868320000096,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,PPS,O,n,n,0,0,0,0,0,55,55,55,a,,yellow,,,,,,4,421.3383728999979,425.39857610000035,35,PPS,b,stim_35_b_u.jpg,test,425.39857610000035,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,BOUND,S,n,n,0,0,0,0,0,56,56,56,a,,yellow,,,,,,4,427.8652959999963,431.92906460000086,35,BOUND,y,stim_35_y_u.jpg,test,431.92906460000086,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,O,n,n,0,0,0,0,0,57,57,57,a,,yellow,,,,,,4,434.3925925000003,438.46308690000296,85,EPS,b,stim_85_b_u.jpg,test,438.46308690000296,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,S,n,n,0,0,0,0,0,58,58,58,a,,yellow,,,,,,2,440.920197200001,443.01173050000216,85,EPS,y,stim_85_y_u.jpg,test,443.01173050000216,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,S,n,n,0,0,0,0,0,59,59,59,a,,yellow,,,,,,2,445.4494854000004,447.5306045999969,85,EPS,y,stim_85_y_u.jpg,test,447.5306045999969,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,1,0,1,0,0,0,0,0,a,,yellow,,,,,,2,449.9967121000009,452.06026230000134,25,PPS,y,stim_25_y_u.jpg,test,452.06026230000134,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,1,0,1,0,0,1,1,1,a,,yellow,,,,,,2,454.52505669999664,456.5912884999998,25,PPS,y,stim_25_y_u.jpg,test,456.5912884999998,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,1,0,1,0,0,2,2,2,a,,yellow,,,,,,2,459.05294100000174,461.12072839999746,75,EPS,b,stim_75_b_u.jpg,test,461.12072839999746,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,1,0,1,0,0,3,3,3,a,,yellow,,,,,,6,463.582396400001,469.65474859999813,25,PPS,y,stim_25_y_u.jpg,test,469.65474859999813,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,1,0,1,0,0,4,4,4,a,,yellow,,,,,,6,472.10719979999703,478.1646529999998,25,PPS,y,stim_25_y_u.jpg,test,478.1646529999998,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,1,0,1,0,0,5,5,5,a,,yellow,,,,,,2,480.6331358000025,482.7042199999996,75,EPS,b,stim_75_b_u.jpg,test,482.7042199999996,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,1,0,1,0,0,6,6,6,a,,yellow,,,,,,4,485.1620578000002,489.2270012000008,75,EPS,y,stim_75_y_u.jpg,test,489.2270012000008,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,BOUND,S,y,n,1,0,1,0,0,7,7,7,a,,yellow,,,,,,2,491.6888809000011,493.75729599999613,75,BOUND,y,stim_75_y_u.jpg,filler,493.75729599999613,b,496.2183595000024,496.2183595000024,0.8406210000030114,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,S,n,n,1,0,1,0,0,8,8,8,a,,yellow,,,,,,2,497.4171847999969,499.4917096999998,30,PPS,y,stim_30_y_u.jpg,test,499.4917096999998,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,1,0,1,0,0,9,9,9,a,,yellow,,,,,,12,501.9463618000009,514.0104494999978,75,EPS,b,stim_75_b_u.jpg,test,514.0104494999978,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,1,0,1,0,0,10,10,10,a,,yellow,,,,,,4,516.4658321999959,520.5376342000018,25,PPS,b,stim_25_b_u.jpg,test,520.5376342000018,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,BOUND,S,n,n,1,0,1,0,0,11,11,11,a,,yellow,,,,,,2,522.9930591000011,525.0590728000025,25,BOUND,y,stim_25_y_u.jpg,test,525.0590728000025,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,1,0,1,0,0,12,12,12,a,,yellow,,,,,,2,527.5224366999973,529.6042650000018,75,EPS,b,stim_75_b_u.jpg,test,529.6042650000018,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,1,0,1,0,0,13,13,13,a,,yellow,,,,,,4,532.0503814999975,536.1209938000029,75,EPS,y,stim_75_y_u.jpg,test,536.1209938000029,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,1,0,1,0,0,14,14,14,a,,yellow,,,,,,2,538.5794927999959,540.6500585999966,25,PPS,b,stim_25_b_u.jpg,test,540.6500585999966,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,1,0,1,0,0,15,15,15,a,,yellow,,,,,,6,543.1077205999973,549.1742569999988,75,EPS,y,stim_75_y_u.jpg,test,549.1742569999988,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,O,n,n,1,0,1,0,0,16,16,16,a,,yellow,,,,,,2,551.6332342000023,553.7015879000028,80,EPS,b,stim_80_b_u.jpg,test,553.7015879000028,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,1,0,1,0,0,17,17,17,a,,yellow,,,,,,4,556.1622849999985,560.2254757999981,25,PPS,b,stim_25_b_u.jpg,test,560.2254757999981,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,1,0,1,0,0,18,18,18,a,,yellow,,,,,,2,562.6889420000007,564.7587522999966,75,EPS,y,stim_75_y_u.jpg,test,564.7587522999966,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,1,0,1,0,0,19,19,19,a,,yellow,,,,,,10,567.218959400001,577.2837087000007,25,PPS,b,stim_25_b_u.jpg,test,577.2837087000007,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,O,n,n,1,0,1,0,0,20,20,20,a,,yellow,,,,,,4,579.740125999997,583.8145124000002,80,EPS,b,stim_80_b_u.jpg,test,583.8145124000002,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,S,n,n,1,0,1,0,0,21,21,21,a,,yellow,,,,,,2,586.2677788000001,588.3365952000022,80,EPS,y,stim_80_y_u.jpg,test,588.3365952000022,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
