dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,TextEnd.started,key_instruct_3.started,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
2,EPS,S,n,n,0,0,0,0,0,30,30,30,b,,blue,,,,,,4,239.9227441999974,243.9684778999981,80,EPS,b,stim_80_b_u.jpg,test,243.9684778999981,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,EPS,S,n,n,0,0,0,0,0,31,31,31,b,,blue,,,,,,2,246.45010379999803,248.49246219999986,80,EPS,b,stim_80_b_u.jpg,test,248.49246219999986,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,EPS,O,n,n,0,0,0,0,0,32,32,32,b,,blue,,,,,,2,250.97884580000027,253.02344299999822,80,EPS,y,stim_80_y_u.jpg,test,253.02344299999822,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,EPS,O,n,n,0,0,0,0,0,33,33,33,b,,blue,,,,,,2,255.50814769999852,257.5725969999985,80,EPS,y,stim_80_y_u.jpg,test,257.5725969999985,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,EPS,O,n,n,0,0,0,0,0,34,34,34,b,,blue,,,,,,2,260.0371978999974,262.0775565999975,80,EPS,y,stim_80_y_u.jpg,test,262.0775565999975,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,EPS,O,n,n,0,0,0,0,0,35,35,35,b,,blue,,,,,,10,264.5663210999992,274.6074774999979,80,EPS,y,stim_80_y_u.jpg,test,274.6074774999979,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
3,EPS,O,n,n,0,0,0,0,0,36,36,36,b,,blue,,,,,,4,277.0880604999984,281.14670019999903,85,EPS,y,stim_85_y_u.jpg,test,281.14670019999903,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,EPS,S,n,n,0,0,0,0,0,37,37,37,b,,blue,,,,,,2,283.6157944999977,285.6786050999981,80,EPS,b,stim_80_b_u.jpg,test,285.6786050999981,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
3,PPS,O,n,n,0,0,0,0,0,38,38,38,b,,blue,,,,,,2,288.1445105999992,290.2018606999991,35,PPS,y,stim_35_y_u.jpg,test,290.2018606999991,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
3,PPS,O,n,n,0,0,0,0,0,39,39,39,b,,blue,,,,,,4,292.67322779999813,296.717709499997,35,PPS,y,stim_35_y_u.jpg,test,296.717709499997,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
